"Food Bar",Taster,Texture,Natural,Taste,BarAppearance,Branding,AfterTaste-Potency[-10+10],Smell[-10+10],Overall,Comments,Date
"Larabar - Ginger Bread",Lawrence,6.5,8,6.75,,,,,7,,42760
"Larabar - Ginger Bread",Eric,7,9,6,,,,,7,,42760
"Larabar - Ginger Bread",Nadia,8,8,6,,,,,7,,42760
"Health Warrior",Eric,4,8,6,3,9,1,,6,,42765
"Health Warrior",Lawrence,5.5,9,4.5,3.5,6.5,7,,5,,42765
"Health Warrior",Nadia,7,9,8,6,7,9,,8,,42765
"Health Warrior",Pete,3,8,5,3,7,-3,,4,weird,42765
"Power Crunch",Lawrence,9.5,2,7.5,6,5.5,-0.5,,6.5,,42800
"Power Crunch",Eric,9,3,8,4,6,1,,7,"goes well with cactus water",42800
"Power Crunch",Nadia,9,2.5,9,4,4,-5,,5,,42800
"Muscle Milk",Eric,7,2,4,7,8,-3,,4,,42807
"Muscle Milk",Lawrence,3,5.5,3.5,7,8.5,1,,3.5,,42807
"Muscle Milk",Nadia,7,3,3,6,7,4,,3,,42807
"Nutrition-Zone Perfect",Nadia,9,8,9,7,8,3,5,9," crunchy",42810
"Nutrition-Zone Perfect",Eric,8,7,9,7,9,5,8,9,"possibly favourite",42810
"Nutrition-Zone Perfect",Lawrence,1.5,5,8,6,9,2,9.5,7.5,,42810
Kind,Eric,4,8.5,8,3,6,0,0,8,,42814
Kind,Nadia,7,9,8,8,6,5,7,9,crunchy!,42814
Kind,Lawrence,5.5,8.5,5.5,3,6.5,8,0,6,,42814
"Cliff Bar",Nadia,6.5,7,7,4,7,-1,7,6.5,"natural but protein powder taste",42817
"Cliff Bar",Eric,4,3,7,2.5,5,0,8,6,,42817
"Cliff Bar",Lawrence,6.5,4.5,6.5,4,5,-0.5,7,7,,42817
"Combat Birthday Cake",Eric,3,2,2,4,3.5,-5,-6,2,"Protien taste!",42824
"Combat Birthday Cake",Nadia,2,0,3,7,5,-3,-4,1,"Odd brand",42824
"Combat Birthday Cake",Lawrence,3.5,3,2.5,6.5,3,-3,-2,2,,42824
"SMART- CookieDough",Nadia,5,3,4,7,6,-1,3,4,,42828
"SMART- CookieDough",Eric,7,8.5,8,7.5,9.5,2,6,8,,42828
"SMART- CookieDough",Lawrence,6.5,3.5,4.5,8.5,7.5,1.5,6.5,5,,42828
"SMART -Blueberry",Nadia,5,5,6,7,6,2,-1,6,,42831
"SMART -Blueberry",Eric,6,8,6.5,7,9,0,-4,6,,42831
"SMART -Blueberry",Lawrence,6.5,7,7.5,7.5,7.5,0.5,-2,7.5,,42831
Bounce,Lawrence,5,3.5,5,5,9,5,5.5,8.5,"an experience",42835
Bounce,Eric,7,7,8,6,9,6,3,8.5,,42835
Bounce,Nadia,8,8,8,9,9,-1,-1,8,unusual,42835
"Health Warrior",Nadia,7,7,7,5,6,1,-2,7,,42838
"Health Warrior",Lawrence,7,9,6.5,3,6.5,1,-6,7.5,,42838
